Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
7/1/2021,IN,India,SEARO,20346,10395283,222,150336
8/1/2021,IN,India,SEARO,18139,10413422,234,150570
9/1/2021,IN,India,SEARO,18222,10431644,228,150798
10/1/2021,IN,India,SEARO,18645,10450289,201,150999
11/1/2021,IN,India,SEARO,16311,10466600,161,151160
12/1/2021,IN,India,SEARO,12584,10479184,167,151327
13/1/2021,IN,India,SEARO,15968,10495152,202,151529
14/1/2021,IN,India,SEARO,16946,10512098,198,151727
15/1/2021,IN,India,SEARO,15590,10527688,191,151918
16/1/2021,IN,India,SEARO,15158,10542846,175,152093
17/1/2021,IN,India,SEARO,15144,10557990,181,152274
18/1/2021,IN,India,SEARO,13788,10571778,145,152419
19/1/2021,IN,India,SEARO,10064,10581842,137,152556
20/1/2021,IN,India,SEARO,13823,10595665,162,152718
21/1/2021,IN,India,SEARO,15223,10610888,151,152869
22/1/2021,IN,India,SEARO,14545,10625433,163,153032
23/1/2021,IN,India,SEARO,14256,10639689,152,153184
24/1/2021,IN,India,SEARO,14849,10654538,155,153339
25/1/2021,IN,India,SEARO,13203,10667741,131,153470
26/1/2021,IN,India,SEARO,9102,10676843,117,153587
27/1/2021,IN,India,SEARO,12689,10689532,137,153724
28/1/2021,IN,India,SEARO,11666,10701198,123,153847
29/1/2021,IN,India,SEARO,18855,10720053,163,154010
30/1/2021,IN,India,SEARO,13083,10733136,137,154147
31/1/2021,IN,India,SEARO,13052,10746188,127,154274
1/2/2021,IN,India,SEARO,11427,10757615,118,154392
2/2/2021,IN,India,SEARO,8635,10766250,94,154486
3/2/2021,IN,India,SEARO,11039,10777289,110,154596
4/2/2021,IN,India,SEARO,12899,10790188,107,154703
5/2/2021,IN,India,SEARO,12408,10802596,120,154823
6/2/2021,IN,India,SEARO,11713,10814309,95,154918
7/2/2021,IN,India,SEARO,12059,10826368,78,154996
8/2/2021,IN,India,SEARO,11831,10838199,84,155080
9/2/2021,IN,India,SEARO,9110,10847309,78,155158
10/2/2021,IN,India,SEARO,11067,10858376,94,155252
11/2/2021,IN,India,SEARO,12923,10871299,108,155360
12/2/2021,IN,India,SEARO,9309,10880608,87,155447
13/2/2021,IN,India,SEARO,12143,10892751,103,155550
14/2/2021,IN,India,SEARO,12194,10904945,92,155642
15/2/2021,IN,India,SEARO,11649,10916594,90,155732
16/2/2021,IN,India,SEARO,9121,10925715,81,155813
17/2/2021,IN,India,SEARO,11610,10937325,100,155913
18/2/2021,IN,India,SEARO,12881,10950206,101,156014
19/2/2021,IN,India,SEARO,13193,10963399,97,156111
20/2/2021,IN,India,SEARO,13993,10977392,101,156212
21/2/2021,IN,India,SEARO,14264,10991656,90,156302
22/2/2021,IN,India,SEARO,14199,11005855,83,156385
23/2/2021,IN,India,SEARO,10584,11016439,78,156463
24/2/2021,IN,India,SEARO,13742,11030181,104,156567
25/2/2021,IN,India,SEARO,16738,11046919,138,156705
26/2/2021,IN,India,SEARO,16577,11063496,120,156825
27/2/2021,IN,India,SEARO,16488,11079984,113,156938
28/2/2021,IN,India,SEARO,16752,11096736,113,157051
1/3/2021,IN,India,SEARO,15510,11112246,106,157157
2/3/2021,IN,India,SEARO,12286,11124532,91,157248
3/3/2021,IN,India,SEARO,14989,11139521,98,157346
4/3/2021,IN,India,SEARO,17407,11156928,89,157435
5/3/2021,IN,India,SEARO,16838,11173766,113,157548
6/3/2021,IN,India,SEARO,18327,11192093,108,157656
7/3/2021,IN,India,SEARO,18711,11210804,100,157756
8/3/2021,IN,India,SEARO,18599,11229403,97,157853
9/3/2021,IN,India,SEARO,15388,11244791,77,157930
10/3/2021,IN,India,SEARO,17921,11262712,133,158063
11/3/2021,IN,India,SEARO,22854,11285566,126,158189
12/3/2021,IN,India,SEARO,23285,11308851,117,158306
13/3/2021,IN,India,SEARO,24882,11333733,140,158446
14/3/2021,IN,India,SEARO,25320,11359053,161,158607
15/3/2021,IN,India,SEARO,26291,11385344,118,158725
16/3/2021,IN,India,SEARO,24492,11409836,131,158856
17/3/2021,IN,India,SEARO,28903,11438739,188,159044
18/3/2021,IN,India,SEARO,35871,11474610,172,159216
19/3/2021,IN,India,SEARO,39726,11514336,154,159370
20/3/2021,IN,India,SEARO,40953,11555289,188,159558
21/3/2021,IN,India,SEARO,43846,11599135,197,159755
22/3/2021,IN,India,SEARO,46951,11646086,212,159967
23/3/2021,IN,India,SEARO,40715,11686801,199,160166
24/3/2021,IN,India,SEARO,47262,11734063,275,160441
25/3/2021,IN,India,SEARO,53476,11787539,251,160692
26/3/2021,IN,India,SEARO,59118,11846657,257,160949
27/3/2021,IN,India,SEARO,62258,11908915,291,161240
28/3/2021,IN,India,SEARO,62714,11971629,312,161552
29/3/2021,IN,India,SEARO,68020,12039649,291,161843
30/3/2021,IN,India,SEARO,56211,12095860,271,162114
31/3/2021,IN,India,SEARO,53480,12149340,354,162468
1/4/2021,IN,India,SEARO,72330,12221670,459,162927
2/4/2021,IN,India,SEARO,81466,12303136,469,163396
3/4/2021,IN,India,SEARO,89129,12392265,714,164110
4/4/2021,IN,India,SEARO,93249,12485514,513,164623
5/4/2021,IN,India,SEARO,103558,12589072,478,165101
6/4/2021,IN,India,SEARO,96982,12686054,446,165547
7/4/2021,IN,India,SEARO,115736,12801790,630,166177
8/4/2021,IN,India,SEARO,126789,12928579,685,166862
9/4/2021,IN,India,SEARO,131968,13060547,780,167642
10/4/2021,IN,India,SEARO,145384,13205931,794,168436
11/4/2021,IN,India,SEARO,152879,13358810,839,169275
12/4/2021,IN,India,SEARO,168912,13527722,904,170179
13/4/2021,IN,India,SEARO,161736,13689458,879,171058
14/4/2021,IN,India,SEARO,184372,13873830,1027,172085
15/4/2021,IN,India,SEARO,200739,14074569,1038,173123
16/4/2021,IN,India,SEARO,217353,14291922,1185,174308
17/4/2021,IN,India,SEARO,234692,14526614,1341,175649
18/4/2021,IN,India,SEARO,261500,14788114,1501,177150
19/4/2021,IN,India,SEARO,273810,15061924,1619,178769
20/4/2021,IN,India,SEARO,259170,15321094,1761,180530
21/4/2021,IN,India,SEARO,295041,15616135,2023,182553
22/4/2021,IN,India,SEARO,314835,15930970,2104,184657
23/4/2021,IN,India,SEARO,332730,16263700,2263,186920
24/4/2021,IN,India,SEARO,346786,16610486,2624,189544
25/4/2021,IN,India,SEARO,349691,16960177,2767,192311
26/4/2021,IN,India,SEARO,352991,17313168,2812,195123
27/4/2021,IN,India,SEARO,323144,17636312,2771,197894
28/4/2021,IN,India,SEARO,360960,17997272,3293,201187
29/4/2021,IN,India,SEARO,379257,18376529,3645,204832
30/4/2021,IN,India,SEARO,386452,18762981,3498,208330
1/5/2021,IN,India,SEARO,401993,19164974,3523,211853
2/5/2021,IN,India,SEARO,392488,19557462,3689,215542
3/5/2021,IN,India,SEARO,368147,19925609,3417,218959
4/5/2021,IN,India,SEARO,357229,20282838,3449,222408
5/5/2021,IN,India,SEARO,382315,20665153,3780,226188
6/5/2021,IN,India,SEARO,412262,21077415,3980,230168
7/5/2021,IN,India,SEARO,414188,21491603,3915,234083
8/5/2021,IN,India,SEARO,401078,21892681,4187,238270
9/5/2021,IN,India,SEARO,403738,22296419,4092,242362
10/5/2021,IN,India,SEARO,366161,22662580,3754,246116
11/5/2021,IN,India,SEARO,329942,22992522,3876,249992
12/5/2021,IN,India,SEARO,348421,23340943,4205,254197
13/5/2021,IN,India,SEARO,362727,23703670,4120,258317
14/5/2021,IN,India,SEARO,343144,24046814,4000,262317
15/5/2021,IN,India,SEARO,326098,24372912,3890,266207
16/5/2021,IN,India,SEARO,311170,24684082,4077,270284
17/5/2021,IN,India,SEARO,281386,24965468,4106,274390
18/5/2021,IN,India,SEARO,263533,25229001,4329,278719
19/5/2021,IN,India,SEARO,267334,25496335,4529,283248
20/5/2021,IN,India,SEARO,276110,25772445,3874,287122
21/5/2021,IN,India,SEARO,259551,26031996,4209,291331
22/5/2021,IN,India,SEARO,257299,26289295,4194,295525
23/5/2021,IN,India,SEARO,240842,26530137,3741,299266
24/5/2021,IN,India,SEARO,222315,26752452,4454,303720
25/5/2021,IN,India,SEARO,196427,26948879,3511,307231
26/5/2021,IN,India,SEARO,208921,27157800,4157,311388
27/5/2021,IN,India,SEARO,211298,27369098,3847,315235
28/5/2021,IN,India,SEARO,186364,27555462,3660,318895
29/5/2021,IN,India,SEARO,173790,27729252,3617,322512
